"","alpha.ini","beta.ini","a.ini","alpha.est","beta.est","a.est","iteration","nothing","convergence.code","min.value"
"1",-2.10386644878024,0.404427205398679,-0.480591688260071,-0.451909628390708,0.249176455401241,0.0891277748355296,244,NA,0,595.11970105336
"2",-1.41385474909627,0.702516391128302,0.133400311392179,-0.46187046408164,0.259875387795384,0.1017554681224,148,NA,0,641.13419075141
"3",0.918508902969124,1.51853888779879,-0.0614106781754995,-0.601357576924054,0.322051440491919,0.0978811503909275,352,NA,0,617.622772347702
"4",-0.828096035090921,0.887937390431762,0.288704797501731,-0.524840108690215,0.290578103654155,0.0999740633899028,180,NA,0,628.609668635521
"5",-1.51939370405459,-0.56650624871254,-0.632989350066152,-0.500030835435863,0.270850687477159,0.0988651831847007,264,NA,0,627.688917449728
"6",-1.38813579749846,-0.694414402171969,0.0653928217915814,-0.474117897380985,0.262894510610785,0.0995451617721951,206,NA,0,630.178832172496
"7",0.530876623312297,-1.10026978682727,0.569945787163768,-0.663913355038634,0.358137210259513,0.101369165205403,368,NA,0,627.313936518409
"8",-1.2521549166792,-0.773112729936838,-1.70980575838615,-0.578142521415381,0.312319145527792,0.0951464109342861,282,NA,0,609.065981703666
"9",-0.734708079291222,-0.967510733567178,-0.101086276652888,-0.483849078618213,0.265531436247992,0.103607285891715,158,NA,0,644.968849650728
"10",1.39975765704578,-1.16502569783479,0.6145949645751,-0.553790087469661,0.297357435237775,0.102206038649196,416,NA,0,634.520284727743
"11",-0.91383241132432,1.96033866163343,-0.316597729280404,-0.68303154833657,0.372755604618841,0.108304808801937,456,NA,0,644.686351487794
"12",0.384069112906518,1.27282243613154,0.0843688945935648,-0.467833193835565,0.257435834421878,0.0856094880909804,418,NA,0,579.551036744552
"13",-2.36358202357375,0.801477338373661,0.416442773750607,-0.684468451171419,0.367970721049886,0.108010243862251,166,NA,0,646.858429291539
"14",-2.32444091808581,-0.712371684424579,0.640185593339494,-0.514543812938108,0.280710063204735,0.0970338059610913,220,NA,0,620.796663091926
"15",-0.953794285809336,1.4376950610429,0.439797283191738,-0.547452036250954,0.292445271891588,0.102770708324124,418,NA,0,637.646930490765
"16",0.968768287295761,-1.38182062637061,-0.135761165806436,-0.530584957211491,0.293682374986315,0.0930149569477528,462,NA,0,606.066550946768
"17",-1.06567865532422,0.775903040729463,0.440552060288774,-0.606353538520128,0.326621812559465,0.104033341775162,254,NA,0,636.254352258546
"18",-0.529932969404099,0.267954797670245,-0.812420096098088,-0.697813523208997,0.372366653008754,0.0966491095915992,196,NA,0,607.18745400859
"19",-0.573616395858763,1.24716115202755,-1.25517581749431,-0.579307425094457,0.313577322321724,0.111026849702178,410,NA,0,659.645696673084
"20",-0.964279520479677,0.844137894175947,-0.379640073753583,-0.420927056260886,0.232744487902203,0.102190781415874,150,NA,0,643.533005797738
"21",0.591934863323631,-0.791068752110004,-0.410347378464722,-0.464539113622746,0.25541983515524,0.0971749904552348,388,NA,0,626.133777667817
"22",1.10055082927859,1.34856969881803,-0.268355089187175,-0.572190361657409,0.30647384952917,0.0934007714867629,454,NA,0,603.950618222999
"23",-1.8950279924699,-0.826959353685379,0.188905117030387,-0.525323961217156,0.284604951138041,0.0985746559344803,190,NA,0,625.328207226494
"24",0.913371927881899,1.93523501995951,-0.923326030754305,-0.540046161804724,0.298464012677536,0.0963468174962103,400,NA,0,616.317596608325
"25",-2.1468893859216,2.05519695598632,-0.765799782801525,-0.44709654327204,0.248978075992532,0.108725712530624,351,NA,0,662.179735379517
"26",-1.19277786292666,0.836186864599586,-0.832652367172338,-0.574643046590768,0.315707794398763,0.105460984964441,184,NA,0,642.680857489646
"27",-1.19277786292666,0.836186864599586,-0.832652367172338,-0.724336909617898,0.385369067029831,0.106241134058121,270,NA,0,637.921025842
"28",-0.461012461377023,1.57944275550544,1.3160127597607,-0.481241220178223,0.262597488996239,0.098365293910127,291,NA,0,626.275767810395
"29",-1.11719666809374,-1.67118885815144,0.0570690080054883,-0.732936774119378,0.392249036752694,0.0935119223908618,324,NA,0,593.527954524479
"30",-2.39110192765081,-0.668021434731781,0.0651760243762973,-0.424688910342549,0.240860706755192,0.0943506027739953,162,NA,0,614.356534082942
"31",-2.25930962820136,-0.570262740179896,-1.14341282841283,-0.689400197149154,0.367466204414262,0.0974524758798251,136,NA,0,610.683202928055
"32",0.14354781604773,-1.11515974421054,-0.293117888832288,-0.588882219561865,0.319876064762856,0.0928882209577976,482,NA,0,600.659728543712
"33",-1.48838990010851,1.28004511278123,0.207971924620174,-0.549177319240264,0.297751128639299,0.104392739602582,434,NA,0,643.101793231928
"34",-1.41352762390458,1.58975416626781,0.614794952942813,-0.621412001608701,0.333649490165238,0.0903796852240274,336,NA,0,586.075311791839
"35",1.16002144742227,-1.07611071392894,0.221289140157089,-0.460802819548216,0.256496795214709,0.0932334315086886,306,NA,0,609.498689863131
"36",0.439165396461549,-1.15697390474379,-0.486270609897337,-0.43615168242351,0.235516565230352,0.0874723684947121,252,NA,0,590.302319047239
"37",-0.855413154853223,-0.891909859888256,0.348136945286739,-0.687594186108164,0.361620181596837,0.0863511054735535,114,NA,0,570.602977156981
"38",-1.79812407881552,-1.50037308484316,0.144745089912803,-0.595048126055088,0.32016134230804,0.103100793686697,458,NA,0,635.113812062786
"39",1.33805860284186,-1.35259454958141,-0.118779528367521,-0.770952740167392,0.402995336600205,0.092764289767987,258,NA,0,585.79371783585
"40",-1.95442499701464,-0.719396246410906,0.497783900371703,-0.490717782962128,0.269925711658272,0.109400498005097,216,NA,0,659.196596287252
"41",1.09037210404343,-1.27794083002955,0.422635723573291,-0.603879070102199,0.327168125898165,0.0996793811646126,302,NA,0,624.864159537907
"42",1.35867710582382,-1.59311069529504,0.527208793947745,-0.414910055577241,0.225966814445642,0.104596485418579,462,NA,0,651.705661478222
"43",0.599006091090204,1.41275845393538,-0.499254274152672,-0.509721512871778,0.28384618025909,0.105375755640777,352,NA,0,647.061474677444
"44",0.212090333769383,1.28291628900915,1.33591324335049,-0.554995534551335,0.302897246778205,0.0767527942158618,294,NA,0,539.989526169983
"45",-0.417504720544157,-1.37659475188702,-0.150243880558545,-0.501149765832248,0.274948375657655,0.0913924461132066,382,NA,0,601.126848123434
"46",0.944280160436692,1.76636772714555,0.577966729150254,-0.453032736896345,0.25423382690072,0.097995575567964,328,NA,0,625.331751432179
"47",-0.504683826273022,-1.57294472567737,0.356347857942141,-0.641777565825995,0.344729100512179,0.0986456090620734,276,NA,0,617.178522535136
"48",-0.0365929390915611,1.51188786625862,-0.262162796447112,-0.604011530053858,0.324948350298801,0.103772659846512,246,NA,0,638.163978154771
"49",-1.2245106177085,1.77831857949495,-0.28077776325688,-0.597635014505296,0.325309062470617,0.098496806127414,302,NA,0,618.14563417733
"50",1.23699787429935,-1.37726243380457,-0.236501564763519,-0.516159354762651,0.279392464052288,0.103255491117099,290,NA,0,639.511076750951
"51",-2.19886845365697,-0.753969171829522,0.256887496557596,-0.541772070602044,0.301029460897255,0.107400394137804,144,NA,0,654.112141728355
"52",1.44639457281149,-1.23132180031389,-0.75211032097849,-0.418588533501774,0.234111505725587,0.109347804149535,389,NA,0,667.067769115853
"53",0.858623207392456,1.07109817229211,0.539766642475825,-0.410004815127561,0.225554944535296,0.0998191526410251,394,NA,0,637.058452452386
"54",-1.71298877444649,0.757169968634844,-1.03057729493506,-0.380528740982906,0.211329884974869,0.0979919411387918,184,NA,0,630.551878355278
"55",-1.78661653694296,-0.72902993094176,0.969994785833156,-0.628189294379247,0.333610276270925,0.0916128072937817,178,NA,0,594.252626489514
"56",-2.13800250474894,-0.506977490894496,-0.378168700563271,-0.493686530396437,0.272223043914527,0.0953524324087963,192,NA,0,613.673719618662
"57",-1.63941211734497,0.816352062113583,0.789269878131856,-0.611051037020372,0.333881539541604,0.107270947024989,196,NA,0,649.49030916381
"58",-0.845114613106189,1.30400300882757,-0.481547374535012,-0.399152471751948,0.223698089409572,0.0973126569020588,354,NA,0,626.934348940426
"59",-1.92785941266054,2.13994570281357,-0.352136380635575,-0.437477979228581,0.240689157377832,0.102295628670387,482,NA,0,641.723431988361
"60",-0.0760293800064304,-1.63906336463988,-0.568077032276251,-0.487744095523636,0.270873293120674,0.102939973936751,204,NA,0,641.043690911811
"61",-2.40182272732788,0.669614968076348,-0.444159833163084,-0.643652930148073,0.348038881129836,0.0911653291178909,178,NA,0,590.533190083734
"62",-2.02082339969063,0.47101261112839,0.400127418907437,-0.73994104974912,0.394052805313044,0.104434749419085,212,NA,0,627.826950538801
