"","alpha.ini","beta.ini","a.ini","alpha.est","beta.est","a.est","iteration","nothing","convergence.code","min.value","tau.est","tau.reparam"
"38",-1.75465236417949,-0.586281404830515,2.00407742720837,0.509967492631264,-0.999390386270615,0.0997174795638069,328,NA,0,1931.36592801148,0.44717035009505,0.257477270966356
"39",-0.226434166543186,1.71404253225774,0.747217314206481,0.525246458453267,-1.02796010048382,0.102696885185169,96,NA,0,1919.64001085828,0.0259027280133832,-0.168913616328836
"40",0.476381404325366,2.80562856886536,-0.226787184658689,0.530780444867247,-1.06491255141519,0.103257502021853,164,NA,0,1888.48586615266,0.16328921800444,-0.032006687169652
"41",-0.335668897256255,-0.93450060300529,-1.72907095304321,0.484984101005279,-0.977185865225983,0.100457795718055,367,NA,0,1928.9496157338,-0.601204531101913,-0.79149003069474
"42",-1.03744387906045,1.95433274656534,-0.0690717882249844,0.493051802021443,-0.981878797693432,0.0972677297178943,151,NA,0,1896.74916807917,0.00698298944499702,-0.178435110062789
"43",1.49115511216223,2.15907570812851,0.653889853708051,0.498352701395734,-0.990885949976031,0.100498299784609,116,NA,0,1936.68952002922,0.352114182818638,0.160365857820841
"44",-0.817034847103059,1.62658494245261,0.351891743402677,0.496458244485743,-0.95902985173679,0.100260603578636,148,NA,0,1961.89398053607,-0.000763968610158762,-0.192364136226133
"45",-0.32519793882966,1.85584765020758,0.124353063777582,0.500247815638958,-1.0120387383804,0.0955432856167401,158,NA,0,1871.34646010261,0.0326450238115278,-0.149471292260665
"46",0.704568340443075,1.6296771755442,0.93965013453886,0.525936265788292,-1.04205938395586,0.100192335702179,122,NA,0,1883.98981973452,0.20531289492512,0.0146701560757714
"47",-0.772310863249004,2.65079840086401,-0.655781455062632,0.511735975889104,-1.02331112351965,0.0983610032880093,146,NA,0,1885.80282820808,0.0480692032752736,-0.13842412410103
"48",1.43261598888785,1.94200294092298,0.358651279927794,0.513846883293834,-1.04426565229312,0.100993055569062,168,NA,0,1920.10974574158,0.370169188429705,0.177067120797722
"49",-0.593789231963456,2.45355984196067,-1.1216325034245,0.492929176563604,-0.995101995044207,0.0974449968144402,118,NA,0,1891.28414946094,0.0551428018673038,-0.131170689729109
"50",1.03115028422326,2.60985785443336,1.47400765519884,0.491071062985663,-0.986109318392113,0.0981615656551135,178,NA,0,1893.14483921931,0.24576591197004,0.0593971428584053
"51",-1.10883274395019,1.65632508508861,0.0597096009127972,0.498082460826324,-1.05229958015815,0.0994164161367118,152,NA,0,1871.56167831233,-0.0058820509922332,-0.194864456278848
"52",-0.0374080771580338,2.07932358235121,0.533663235871167,0.484419232201938,-0.971431267342616,0.100184092233229,164,NA,0,1927.11501018408,0.092183270828099,-0.0976701479886807
