"","mu0.ini","mu1.ini","sigma.ini","a.ini","mu0.est","mu1.est","sigma.est","a.est","iteration","nothing","convergence.code","min.value"
"20",2.21114293672144,-3.7919053950347,1.69072577381094,1.03043123067465,-0.0233306778691128,0.621440366982666,1.45283872111011,0.104796956736072,259,NA,0,5900.06185905047
"21",2.20777868991718,-0.948416954185814,2.62910232998727,0.993596443853421,-6.23853147012561e-05,0.507603959431362,1.47601196548525,0.100798531220637,271,NA,0,5927.84667063303
"22",0.696197294164449,1.50870565529913,2.80963286778898,0.432463641373227,0.00542642581688464,0.716151526922988,1.49443890438462,0.104602030294981,281,NA,0,5988.99261626757
"23",-2.11920011788607,-0.25628293659538,2.55958326763433,-0.382037926209104,0.0233701634724428,0.763296685810681,1.48514211962193,0.10413240599252,413,NA,0,5970.17763127505
"24",-2.95622185105458,3.15839200019836,1.82810280033049,-1.01779680556474,-0.0559947766431805,0.892026964745443,1.47435347862807,0.101485373782573,315,NA,0,5966.23967120908
"25",-3.55594797292724,-2.05524129355326,1.64835435799195,-0.0856502882911923,0.00676753878367696,0.537903668233987,1.44479134794608,0.101584990748309,385,NA,0,5868.86805794262
"26",-1.67784358374774,-0.649660087935627,0.752458000586837,1.45097531319629,0.0312812015973827,0.586284207340988,1.42150937280762,0.0927435262998501,411,NA,0,5797.47921170682
"27",-1.44394394475967,1.45451185731217,1.03743780136871,0.907021551562664,0.0910185585741164,0.795393102170592,1.44707835835922,0.0912881188605593,263,NA,0,5854.33644632735
"28",0.570098322350532,1.70589683083817,0.726203655261248,-1.16030116083066,-0.0393556436350497,0.777265794886621,1.39099441948927,0.0980561944593775,189,NA,0,5769.63904655137
"29",-1.08468800084665,5.26521126944572,1.34139191306512,-0.492053894470896,0.000856909921125149,0.709211039326676,1.45163679254418,0.0975074069467215,313,NA,0,5882.81657416144
"30",0.825656407978386,0.525350791588425,1.63656372118601,-1.99478731347362,-0.0658795426557904,0.680761597738708,1.47318520011043,0.0883674844392276,197,NA,0,5902.93207037214
"31",-2.70374534418806,-2.35125645790249,1.38864891366178,-0.434593837435302,0.0106440473843753,0.763423581398653,1.44725262480883,0.100844343757403,299,NA,0,5889.30552283655
"32",1.05854290071875,0.23310211924836,1.2762979472122,-0.970936070689544,0.0164923707979793,0.529040222641477,1.46214459484481,0.103856587998157,197,NA,0,5908.75235604495
"33",1.47501641185954,-0.0481656406074764,1.04381079315956,-0.59847481213019,-0.00608876365817104,0.797695699968382,1.49098554830661,0.0865058868318916,211,NA,0,5938.1229477257
"34",-3.26556206680834,2.69458547206596,1.63917579595313,0.590260074626949,-0.0292753157689907,0.670934108162362,1.42268786332295,0.0954575066416932,203,NA,0,5820.11573568549
"35",0.582611334975809,-4.08049399061129,1.01958896605358,-1.11427820522436,-0.0265302840410962,0.554187262863055,1.49791674685031,0.112722511774499,181,NA,0,6005.50676138153
"36",3.14541425323114,4.44686117088422,1.08722515311241,-0.537929628385448,0.0460319327669103,0.624167452245677,1.45135352162842,0.089613588066779,351,NA,0,5849.1235406618
"37",-3.38181025581434,0.158707142993808,0.894625640931659,-2.00819798105134,-0.0039838614380212,0.582235735072611,1.50883684968657,0.0958982319392767,385,NA,0,5983.61790013639
"38",0.195651818066835,-0.294436500687152,2.70441542123309,-0.170159947831019,-0.0210919065613211,0.694695792284219,1.43795211705839,0.0910465201882245,225,NA,0,5837.84670163763
