"","alpha.ini","beta.ini","alpha.est","beta.est","iteration","nothing","convergence.code","min.value"
"1",-1.47902357950807,-0.839068662375212,-0.359359828026863,0.194305962535627,105,NA,0,-1.37542994825757
"2",-1.98459869623184,-0.454599232412875,-0.574502195405021,0.306049456783994,117,NA,0,-4.15360990905999
"3",0.196556167677045,-0.373421993106604,-0.493005108782797,0.265929493546126,91,NA,0,-2.25904159552434
"4",-0.865810316987336,-0.864838283509016,-0.845645039628723,0.463943915573913,69,NA,0,-8.20029211247929
"5",-2.43157598748803,0.181327246129513,-0.117345266756111,0.0608498564762678,99,NA,0,-0.145510360189634
"6",-2.26909385155886,-0.533101337961853,-0.585208644690382,0.318949090067317,103,NA,0,-3.94858818635819
"7",1.00456884875894,-1.12151298765093,-0.605034162581925,0.323171756105029,103,NA,0,-3.7512117705843
"8",-2.23144848644733,-1.76291834656149,-0.679669195138574,0.374045792030996,183,NA,0,-6.1042493336722
"9",-1.82594025321305,-0.259798306971788,-0.654942444822524,0.35388186458551,97,NA,0,-5.27589522976845
"10",-1.38159308303148,-0.841507414355874,-0.344986622169068,0.183290244450964,115,NA,0,-1.36810228239908
"11",-1.4285085843876,-0.830097577534616,-0.762819497252248,0.411272891793844,75,NA,0,-6.02641908504984
"12",-0.752277256920934,0.0389059325680137,-0.74697542754401,0.408759210969493,121,NA,0,-7.42068168781203
"13",-1.33983155526221,0.429986891336739,-0.582367379351994,0.307870923812763,79,NA,0,-4.27052374917034
"14",0.281267298385501,-0.0608872259035707,-0.543448056663721,0.288776568209669,91,NA,0,-3.58226361599368
"15",-1.14821400493383,-0.0506509747356176,-0.637835194029585,0.352960018687459,93,NA,0,-3.99911232579709
"16",0.904715592041612,0.346542819403112,-0.591072531919873,0.322578645857367,107,NA,0,-3.7786371729177
"17",0.904715592041612,0.346542819403112,-0.662765937547736,0.360400910632514,81,NA,0,-5.26749504730502
"18",-1.74793580826372,0.693010607734323,-0.434076357151814,0.234969475116413,89,NA,0,-2.31961152097027
"19",-1.32078788522631,-0.815783124417067,-0.743197250569519,0.402081995463691,81,NA,0,-6.09135300045797
"20",-1.58667909353971,-0.436987875029445,-0.733756716299267,0.401944706932181,99,NA,0,-6.4376312457824
"21",0.491104721091688,-1.90139971952885,-0.396537177845211,0.209004021535496,269,NA,0,-1.97041105793177
"22",-2.09872303064913,0.594176005572081,-0.755843495313237,0.407279379467538,89,NA,0,-7.26554083998676
"23",0.566948927938938,1.09738677833229,-0.611027961449587,0.333054431422769,83,NA,0,-4.39260700922879
"24",-0.606723522767425,0.569667817093432,-0.65366255486968,0.357809675866386,89,NA,0,-4.34103176468336
"25",1.07030320726335,0.585464069619775,-0.796478966388771,0.430044087924921,113,NA,0,-7.24467315855856
"26",0.505010074004531,1.06788516882807,-0.428527503952729,0.231733577176324,101,NA,0,-2.36761336158003
"27",-0.870855115354061,-0.624828432686627,-0.458933683314307,0.246764264291696,115,NA,0,-2.36147220181326
"28",1.03228862117976,-1.65315338969231,-1.10043977599553,0.617147928158314,203,NA,0,-15.5083091889156
