"","alpha.ini","beta.ini","alpha.est","beta.est","iteration","nothing","convergence.code","min.value"
"1",-1.28333242610097,0.653421096503735,-0.72421183860752,1.19344370285837,77,NA,0,-6.64417192202468
"2",-1.1592696942389,-0.662636839784682,-0.675267614230992,1.21619893543044,89,NA,0,-5.75655136716432
"3",-1.99859782867134,0.454184047877789,-0.798344129448196,1.24094793100342,97,NA,0,-6.9104812939396
"4",-2.39438755344599,-0.360447213985026,-0.291914496361851,0.73583825334738,101,NA,0,-1.88126833790669
"5",-2.31268214154989,-0.546355903148651,-0.465242648662129,0.9683890575626,81,NA,0,-4.27196234882963
"6",-1.56398260220885,2.19894275534898,-0.963493018369335,1.52523808254563,453,NA,0,-9.96793889452628
"7",-0.415447557345033,0.758395873010159,-0.441229549145528,0.992998626255823,67,NA,0,-2.95902626269992
"8",-2.17071005981416,-0.453593253158033,-0.890579163773156,1.38999901797687,85,NA,0,-9.4315681620729
"9",-2.49355829041451,-0.301796684041619,-0.582838648957295,1.05503430591954,79,NA,0,-3.88637297102663
"10",-2.42164740059525,2.53986285626888,-0.438887604945072,0.966943436899659,463,NA,0,-2.57731585654123
"11",-1.81802252586931,-0.544786715880036,-0.397398837169997,0.878243316637238,83,NA,0,-1.80788152884488
"12",0.139011714607477,-0.901862319558859,-0.493302230832968,0.960388172619083,73,NA,0,-1.55027021629398
"13",-0.634428908117115,-0.714881089515984,-0.327351458558124,0.784075489346653,79,NA,0,-0.964306925381846
"14",-1.28852229937911,1.58289656788111,-0.172616954107937,0.541952855630417,471,NA,0,-0.751149064910944
"15",-0.39285624306649,0.867703608237207,-1.14766625928428,1.59137747887791,79,NA,0,-12.1042579169448
"16",-2.22815725021064,2.06407519616187,-0.616463498436979,1.09150245734769,385,NA,0,-4.55120736389194
"17",-1.34443269204348,-0.582082881592214,-0.460616855028651,1.02632554829087,79,NA,0,-5.19218036806705
"18",-2.07141976244748,1.73974717780948,-1.18063136075649,1.64630464032613,375,NA,0,-13.6044321513138
"19",-1.71863626223058,2.144247838296,-0.356062510397695,-0.994283328800409,69,NA,0,-1.28610703686692
"20",-2.00878860522062,-0.551114972680807,-0.231871514162598,0.669384211636804,95,NA,0,-0.996170528360357
"21",-2.44131325092167,-0.490627634339035,-0.626861265701757,1.11818694297826,81,NA,0,-4.90045261170706
"22",-1.22378981206566,0.678756160661578,-0.474297893248408,0.976435994609804,67,NA,0,-4.93389839892109
"23",-1.39879397395998,0.566467067226768,-0.50113780685788,1.02816059342833,99,NA,0,-3.40682825080718
"24",-1.95572403632104,1.84717603586614,-0.534787471548297,1.05200125294901,413,NA,0,-3.97156151260241
"25",-0.305079767480493,1.27915630489588,-0.2933250546516,0.758522962160201,371,NA,0,-2.23209166602754
"26",-1.39121069107205,-0.652853265404701,-0.582711763739521,1.09938461617303,87,NA,0,-4.38226108094065
"27",-0.783409919589758,1.66808215156198,-0.0209584484865096,-0.325364713031604,101,NA,0,-0.386083087014948
"28",-1.97034146729857,0.571757292374969,-0.248284922081085,0.697307673386761,115,NA,0,-1.01601377682835
"29",-2.23701788950711,2.27694005332887,-0.186414218995097,0.579403017996881,385,NA,0,-1.29077223087294
"30",-1.228690514341,1.48293680138886,-0.453782354436383,0.996695349705818,395,NA,0,-5.67781777168017
"31",-1.07022899482399,-0.632461459375918,-0.538654213111077,1.10394336881108,81,NA,0,-3.92168075204254
"32",-1.57225313596427,1.88088543713093,-1.02171400015417,1.49260470060931,405,NA,0,-8.05808236831668
"33",-2.22742806188762,0.515273950994015,-0.633465583278301,1.11994606695698,87,NA,0,-4.31462189143275
"34",-2.34009906277061,0.431684209965169,-0.191718475286499,0.568211261039367,119,NA,0,-1.07508246109235
"35",-0.623103280551732,-0.467305345460773,-0.551065191275752,1.0625640196923,61,NA,0,-5.13670539848562
"36",-1.43267004936934,0.638294665142894,-0.508466920814999,1.00641201565334,111,NA,0,-2.39912813208768
"37",-0.0761228101328015,-0.760135592892766,-0.328178970732356,0.77414703448599,409,NA,0,-1.94240228119266
"38",-2.29798865970224,0.332793308421969,-0.443865230321049,0.952818580589835,171,NA,0,-3.49670755817772
"39",0.00271216314285994,1.0560453645885,-0.0431559963462658,-0.392050181697174,79,NA,0,-0.242577083129882
"40",-0.253532917238772,-0.839733753353357,-0.502300823032906,0.937107770330515,77,NA,0,-4.15278670842358
"41",-1.74448583740741,0.593492489308119,-0.357017366829916,0.820297567425323,91,NA,0,-1.89828226541606
"42",-1.71979963686317,-0.637233851477504,-0.685061359228812,1.19924936613114,109,NA,0,-4.1459356422236
"43",-2.33549934905022,0.484350146725774,-0.501676075764915,0.983723667843348,89,NA,0,-4.45883682208653
"44",-2.11864720378071,0.428295230492949,-0.427585522361678,0.871268674628772,111,NA,0,-1.67018953889447
"45",-1.38298402447253,0.62599712703377,-0.39770916622322,0.900388573300835,85,NA,0,-4.13453638800077
"46",-2.42950206063688,-0.506290930323303,-0.395560022073047,0.864954075918302,91,NA,0,-2.3378731642743
"47",-1.95482643693686,-0.508091557770967,-0.56519794515782,1.05421927672146,95,NA,0,-6.15830090750915
"48",-0.639387844130397,1.24420494493097,-0.66533030741769,1.16580717109694,473,NA,0,-5.92094027651957
"49",-0.387677483260632,0.833939355798066,-0.23317072677721,0.633169825773735,91,NA,0,-2.03995496185325
"50",-1.34820860531181,-0.645913015119731,-0.554606277800621,1.03616858951118,85,NA,0,-3.95118979747523
"51",-2.20905738510191,0.453976754099131,-0.900577849940209,1.4420249073661,113,NA,0,-9.11931618757805
"52",-1.05675827059895,-0.654235832393169,-0.755146051116596,1.23259411092619,99,NA,0,-6.29040541079371
"53",-1.88732452038676,-0.530652809888124,-0.60187283178456,1.09473063802604,101,NA,0,-3.44397936892844
"54",-0.330003308132291,0.620272049680352,-0.72835946784332,1.26331125408567,69,NA,0,-5.9761356282434
"55",-0.0395883303135633,0.912400648929179,-0.3745336215116,0.81416890219363,87,NA,0,-2.1104669550273
"56",-0.842303091660142,0.703307206742465,-0.523384101771271,1.01318202881446,69,NA,0,-4.57273140532596
"57",-0.0742571949958801,1.15200092736632,-0.739504549243697,1.2425141063665,367,NA,0,-6.38848230377027
"58",-2.32587807718664,2.29574758280069,-0.451298970465265,0.931880390416692,479,NA,0,-2.69786806086656
"59",-0.40862634126097,-0.767673608846962,-0.478975500577883,0.972955520958498,81,NA,0,-3.78562923859109
"60",-0.00241843331605196,0.965646292082965,-0.377726004454169,0.837378310561125,407,NA,0,-1.69456599522546
"61",-1.98780715279281,0.576796983368695,-0.809796757491717,1.33690096782285,75,NA,0,-9.46942485410411
"62",-1.66740865260363,2.11880839988589,-0.198061722620624,-0.780784101308756,77,NA,0,-0.670576004196896
"63",-1.65476087853312,2.1750368475914,-0.766216091930727,1.27096764616074,487,NA,0,-5.39417062849133
"64",-1.27246263623238,-0.614156814292073,-0.352638335198325,0.807968556639794,85,NA,0,-3.96905075000352
"65",-1.39559022430331,0.617933481000364,-1.04560135678322,1.51037237573819,67,NA,0,-7.20411279631329
"66",-2.4451286457479,-0.446960893459618,-0.873437656490889,1.45053791233001,85,NA,0,-7.1829831376751
"67",-1.8985282164067,2.0407148944214,-0.178324886386626,0.564658862861259,491,NA,0,-1.48682811502115
"68",-2.146942907013,1.82885313685983,-0.665674390974163,1.17579563109749,317,NA,0,-7.59949850509892
"69",-0.971641110256314,1.65726361609995,-0.364156333923114,0.876568749536379,371,NA,0,-3.30329161041256
"70",-0.125236585736275,-0.804152733646333,-0.217364681103366,0.684527708514384,83,NA,0,-2.03184671375348
"71",-0.528843632899225,-0.778992407023907,-0.395802300057234,0.934397627421129,73,NA,0,-3.48438395706822
"72",-1.86770156864077,1.97268183343112,-1.28355168623701,1.71197361559396,479,NA,0,-11.1804359547955
"73",-2.22587466519326,-0.509128777310252,-0.709269612342061,1.19582296620853,79,NA,0,-4.12394584696636
"74",-2.49162990786135,-0.481433521024883,-1.2826683277519,1.76419215387097,145,NA,0,-12.7989046769963
"75",-1.68624764960259,2.55352121032774,-0.414274626998462,0.882260421034095,397,NA,0,-3.38812189989283
"76",-2.09123491775244,2.10842766799033,-0.71197116562845,1.27416816466804,363,NA,0,-9.06299315325704
"77",-1.97827332746238,0.189435823820531,-0.776925891790199,1.30234239291397,83,NA,0,-6.47942176229414
"78",-2.04300024453551,0.481027441099286,-0.327063664190257,0.779095463113321,95,NA,0,-2.59535002353403
"79",-1.57945149764419,-0.529073661193252,-0.876299157383569,1.46411544391405,81,NA,0,-9.34465181924853
"80",-0.204762716777623,0.859392712824047,-0.641837367444611,1.13564985247226,85,NA,0,-5.28446530507988
