"","alpha.ini","beta.ini","alpha.est","beta.est","iteration","nothing","convergence.code","min.value"
"1",-0.393046615645289,-0.012412398122251,-0.482248788150322,1.00524332814279,91,NA,0,740.558689424423
"2",-0.393046615645289,-0.012412398122251,-0.517755601330652,1.03039664547208,85,NA,0,747.434050930904
"3",-0.393046615645289,-0.012412398122251,-0.448991444237144,0.951306512551663,75,NA,0,756.605397889626
"4",-0.625257733277977,0.729267864488065,-0.588979491998643,1.1103602062797,53,NA,0,726.101797864063
"5",-0.393538581207395,-0.486653020605445,-0.463353838372906,0.942413554347378,69,NA,0,799.713818942006
"6",-0.268965588882565,-0.687519577331841,-0.481391097350468,0.98696720249487,67,NA,0,799.287377359273
"7",0.932576754130423,-0.839684722013772,-0.443574029820011,0.929757666432847,75,NA,0,804.624983691067
"8",-2.13244813121855,0.0361214382573962,-0.489103349859007,1.01092435994556,77,NA,0,751.61798512396
"9",0.371391116641462,2.64300366211683,-0.504099082714746,0.961034194175252,207,NA,0,760.831929840217
"10",-0.0457236738875508,0.846718667075038,-0.468574098407686,0.936997386973573,93,NA,0,789.57326044172
"11",-1.69119267351925,1.58992051519454,-0.514592674700503,1.04375306610991,275,NA,0,757.768776651776
"12",0.606649871915579,0.807958689518273,-0.484692283674428,0.983828300432808,67,NA,0,781.796641197153
"13",0.736744659021497,-0.521395639516413,-0.481600007159379,0.980762907158728,99,NA,0,780.131491466843
"14",0.182394259609282,-0.310816031880677,-0.467297133048322,0.948345479491197,77,NA,0,765.318161370552
"15",-2.48953404650092,0.446162788197398,-0.528191227363204,1.01801180676713,77,NA,0,794.665507911271
"16",-0.414751907810569,-0.332105471752584,-0.500408122070868,0.968991192997522,75,NA,0,786.541268694136
"17",-0.996646979823709,2.47192340251058,-0.529410237035385,1.01530111548823,69,NA,0,742.425788875012
"18",-1.68085053469986,0.415410595946014,-0.402541074668811,0.863334315865939,89,NA,0,809.384856218909
"19",0.423972561955452,2.79757186677307,-0.493357230658646,0.972925140972916,89,NA,0,773.617053275029
"20",-0.01266501378268,-0.876661729998887,-0.48832176592385,0.992893039450438,67,NA,0,776.878777149348
"21",-1.82889161817729,0.139915786683559,-0.37761518099117,0.849116100546491,77,NA,0,778.781200542675
"22",-2.49085793737322,2.73504645284265,-0.417973987653358,0.896273206383936,89,NA,0,814.667897347913
"23",-0.186189782805741,-0.821244516409934,-0.530769216413995,1.0266821197114,77,NA,0,741.37353287794
"24",-1.02072480600327,0.33927680645138,-0.467342657215755,0.971166177994923,75,NA,0,761.37025118381
"25",-0.999920095317066,-0.647459194995463,-0.498050483997314,1.03776532484717,63,NA,0,772.799182375337
"26",0.43813407048583,1.405199107714,-0.457621621498392,0.974442965906192,235,NA,0,749.889830514248
"27",-2.05506408587098,2.06520295608789,-0.497071194942486,1.00212867358189,93,NA,0,740.839073941534
"28",-1.50733198504895,-0.625322304666042,-0.461105941234073,0.941437466866923,69,NA,0,751.643780897509
"29",-1.50733198504895,-0.625322304666042,-0.55012797572855,1.0372895453687,73,NA,0,729.618300123292
"30",-0.354138813912868,1.37678269390017,-0.512424007839109,0.99373710509655,187,NA,0,743.584704166799
"31",-2.18742710910738,-0.60080037266016,-0.531223049168253,1.05098392297649,73,NA,0,744.098661849254
"32",-1.52164276503026,2.78056780062616,-0.535795287606149,1.06306439987478,77,NA,0,720.860061652756
"33",-1.89960860274732,-0.388724436052144,-0.41088087579706,0.900653190341377,79,NA,0,798.940090957094
"34",-1.5717968037352,2.45512160751969,-0.430507759216898,0.903170810390029,75,NA,0,807.250660972927
