"","mu0.ini","mu1.ini","sigma.ini","mu0.est","mu1.est","sigma.est","iteration","nothing","convergence.code","min.value"
"1",3.49561597872525,3.37663280870765,0.634728713844291,1.67416606978651,2.01620073878303,0.971952977928709,108,NA,0,6247.63702765711
"2",3.11239536199719,0.288059244863689,1.17107061764959,1.7004791026007,1.99355206403339,0.99430407345166,122,NA,0,6317.30020854536
"3",3.55969171319157,1.43038464244455,1.05971087878894,1.69423416488691,1.98725217941074,1.00051590345662,108,NA,0,6339.32498028934
"4",1.91845169477165,3.35221228562295,1.3006500377292,1.7488399967742,1.86681679078865,1.00952199024013,90,NA,0,6366.41357447754
"5",0.0622920636087656,1.48123931605369,1.13417882055987,1.73030669238502,1.94188402813112,0.998078175196506,126,NA,0,6375.14471526325
"6",2.65034695435315,2.0229345401749,1.03010106594886,1.71735193048165,2.04504653609245,0.996350473458765,104,NA,0,6340.30066237562
"7",1.3404880836606,3.68703744467348,0.801330429004138,1.71497323695316,1.95013903228872,1.00385788758602,156,NA,0,6319.69956347161
"8",1.66065589897335,1.89455697312951,1.33714112450409,1.69506981729682,1.97660737953345,0.995854699695854,116,NA,0,6366.42461560152
"9",0.0602334756404161,2.23461580835283,1.12307274411039,1.68716658135681,1.98770573883292,1.00739084900468,136,NA,0,6375.72980245617
"10",2.8478111019358,0.314769996330142,28.5061609031801,1.6924170301857,2.0369333792168,0.999278547670911,176,NA,0,6339.49420099345
"11",2.15681154746562,2.15812796819955,0.784547896903884,1.72206049928372,1.94751306582765,0.98584837467478,82,NA,0,6273.56214194132
"12",3.15347628202289,3.07143071759492,0.697884224193944,1.68860479136886,2.02903596350676,1.00701575788782,108,NA,0,6347.44495172122
"13",3.29062542971224,1.69533143751323,1.22291961960128,1.71932173133418,2.01298786968204,0.985375977748818,140,NA,0,6255.12755094054
"14",0.464563064277172,2.77469099126756,1.09435450085871,1.71830936191655,2.08545793959361,0.997610855393918,118,NA,0,6321.54985711974
"15",2.52962212916464,0.265032805502415,0.746616620716622,1.7196730419345,1.88471831893906,0.988721794492515,128,NA,0,6267.86219088333
"16",1.93027793429792,1.26823042612523,0.853980271261501,1.71218741049234,2.02831172024702,1.00438323515493,96,NA,0,6372.20060593826
"17",2.19053730554879,0.931024718098342,0.705095059344891,1.68796595634519,1.9141250901692,1.00002042518355,158,NA,0,6321.37091907413
"18",1.26258704066277,1.7763444762677,1.24154973268084,1.68106043001886,1.95956289408968,0.992348235629863,72,NA,0,6322.88965929101
"19",2.28789363987744,3.15955446194857,8.70603271991689,1.69480933306423,2.01354731041992,1.0010671742071,192,NA,0,6343.90697278825
"20",0.990544799715281,1.91877089440823,2.7249089209693,1.69752485549966,1.98442665004772,1.0063973367705,134,NA,0,6319.31720652724
"21",2.01258222945035,0.39816031139344,0.910783207085835,1.67608073392999,2.04095091997249,1.00344772356284,104,NA,0,6340.67417435159
"22",1.61776323709637,1.2035715021193,1.45848377044053,1.71014318899389,2.01459172211548,0.993901506590325,122,NA,0,6309.57692377403
"23",1.56577129289508,2.89295165240765,1.50164539065825,1.68544278333673,2.04119434843336,0.995727485688037,144,NA,0,6355.40413221979
"24",1.66979538183659,2.01402467023581,0.868352446235953,1.68197692293366,2.03557029152634,1.00894231370794,80,NA,0,6348.85836844533
"25",2.03008154220879,3.75997296534479,1.23620212725783,1.68956178947513,1.9742932904011,1.01091387178129,130,NA,0,6401.41111149645
"26",1.44008423481137,2.14778521098197,0.593569676784514,1.69541153461388,1.98559934400261,1.00186661929686,106,NA,0,6314.87676487262
"27",1.71005118545145,0.24578670784831,0.707771975533037,1.70188623353077,1.95760135544419,0.991484361965026,120,NA,0,6292.23351712582
"28",1.12897559348494,1.45902346167713,0.638677708156819,1.70125867641316,2.04656660118771,1.00063766987109,112,NA,0,6309.56573964093
"29",3.6869128877297,2.19051708374172,1.85259423749682,1.68902189283475,1.96282913923781,0.98061549802966,136,NA,0,6260.06100422558
"30",2.4345591859892,2.24691430199891,0.865398887286214,1.69853447134702,1.99870719192652,1.00478283781141,132,NA,0,6379.00105025212
"31",1.62278908491135,1.32304584328085,0.700354478390731,1.71487144797134,1.97261187556175,0.991534362051574,100,NA,0,6302.71974268175
"32",3.61387209873646,1.13889569789171,0.978918774002378,1.68506535856791,1.97014313243805,1.00193523217375,104,NA,0,6348.05670388584
"33",1.9853809773922,1.49861066043377,1.00334227196864,1.69777162875158,1.98899894468234,0.981906151870263,178,NA,0,6217.27065498567
"34",0.554377228952944,2.82417844794691,1.17448663648725,1.71090164542267,2.08068113663329,1.00241238946383,148,NA,0,6340.58450802493
"35",3.52317213639617,1.66681546997279,4.45453068911926,1.70321610813778,1.95771904598275,1.00279589828986,116,NA,0,6372.61585551709
"36",3.04848358500749,2.46041412558407,1.5932710935833,1.69410407030725,1.98109716800541,1.00106315030876,116,NA,0,6342.58374974249
"37",1.35532124433666,3.22124443110079,1.85473736323078,1.69714225544756,1.99672364791833,0.98834211803758,168,NA,0,6303.88173747604
"38",0.992583938874304,2.15334593039006,1.39066872701428,1.7115130312265,1.97465405645486,0.983465727297034,94,NA,0,6282.96583628473
"39",2.55818290356547,0.932037775404751,0.81944495875738,1.6955733448258,2.05719987932858,1.01612366664324,112,NA,0,6402.70257990016
"40",2.73683933634311,1.72513333614916,1.47864125261969,1.71004038650539,1.94921712745037,1.00687458068554,106,NA,0,6364.1980825076
"41",1.69219672586769,2.69586006458849,0.995576428587389,1.70835206123536,2.03086210213114,0.994119324029143,102,NA,0,6312.53792811301
"42",2.10369409993291,0.64259281847626,1.11002414677291,1.71278809223848,1.96857132934684,0.989667923785305,86,NA,0,6276.18363982093
"43",2.91197003424168,1.78575311973691,0.705857105891324,1.72453466749311,2.0338765539977,0.990146790071442,100,NA,0,6283.72988367377
"44",1.23192318808287,0.472668394446373,0.947411859624607,1.72493108495666,2.01308188871873,1.01867408586693,104,NA,0,6415.72270960077
"45",1.51906856615096,1.57081970386207,1.87962967121894,1.73448889903805,1.99622752657375,1.01157006471429,162,NA,0,6379.79555439311
"46",3.55492222681642,1.59521933551878,1.43422566972897,1.71089189534723,1.98978242862841,1.01567160421772,98,NA,0,6419.24882539695
"47",2.8223988590762,0.906051591038704,1.5938916063628,1.69845807183047,2.05655647277741,1.00057568264789,86,NA,0,6346.17259106585
"48",1.07050758879632,1.96186462976038,1.18185178200614,1.7112635826297,2.07974396972079,0.993049389409794,102,NA,0,6318.99853306396
"49",1.78384062461555,3.91715579852462,0.792898349528017,1.70820456440483,2.01987310452358,0.997755682394375,136,NA,0,6335.46134632898
"50",2.68076041620225,0.0477472310885787,2.5198492506067,1.70260124559195,1.98090031222742,0.988339760532114,166,NA,0,6293.1636657634
"51",1.80040693283081,2.09047756437212,1.34456536805813,1.71928413021928,1.94211559889334,1.00623809580957,124,NA,0,6299.26839046322
"52",3.96802696585655,0.269478569738567,0.63815462341698,1.69861032584178,1.93160622328837,1.01006299347394,160,NA,0,6379.30278164975
"53",2.57795676030219,1.2698434162885,1.37012962961235,1.74580065373316,1.94085523088814,1.00864585390315,110,NA,0,6349.55072472364
"54",2.1529128625989,0.821054339408875,2.88259731574465,1.69959837196332,2.06801377967411,1.00082936907328,140,NA,0,6345.29062924415
"55",2.71371361147612,0.0281587298959494,3.25689065769981,1.7282199973409,1.98815415270021,1.0110710408791,108,NA,0,6341.52154258367
"56",0.727824016474187,0.342494633048773,1.32008269825672,1.7037118677867,2.02791776702533,0.995504812104756,150,NA,0,6335.81585517972
