"","mu0.ini","mu1.ini","sigma.ini","a.ini","mu0.est","mu1.est","sigma.est","a.est","iteration","nothing","convergence.code","min.value"
"74",1.01447523850948,2.11282700672746,0.967820177241863,0.888724447997956,1.63515246352783,1.76702329912371,0.970634795134437,0.999958034136997,361,NA,0,4169.19034644839
"75",2.16928180586547,0.42306689824909,0.50339279328406,-0.326847558335138,1.64456018549589,1.77972460680716,1.01001240755589,0.996448376333583,437,NA,0,4287.96543512459
"76",0.638198048807681,1.24510752316564,2.41129945524712,0.593665420473345,1.76115581344169,1.79057862221688,1.0098014886796,0.249270969292874,125,NA,0,4285.97081645634
"77",0.516983757726848,1.68215793278068,2.56788455289104,-0.193527058993517,1.67753830142472,1.72208587920745,1.01135047192271,0.99965259227689,473,NA,0,4290.93049698822
"78",1.6611818196252,0.239563553594053,1.26166325640764,-0.370970184869368,1.77796608401829,1.14147444952581,0.97941854657344,0.145050918423114,329,NA,0,4244.21299101534
"79",1.63547966536134,3.7472718572244,3.74635249519315,0.176558183023911,1.68528958431379,2.9419298448933,0.989517025653732,0.0476055564062762,491,NA,0,4292.97192471118
"80",2.10571172460914,0.339283741079271,1.20258485203491,-1.89693301390169,1.75123947693708,1.7052717460764,1.00793974477914,0.998772022069735,447,NA,0,4281.08989266377
"81",2.37314620241523,2.71743977442384,1.1843702150458,-0.183749625911446,1.68937751597884,1.73689347303488,1.01776201365347,0.96690425629289,153,NA,0,4310.03602228273
"82",2.88519861456007,0.896967780776322,1.25908948899699,0.22033055367927,1.69417858298176,1.99995625500397,0.9975926417627,0.0917445782408995,499,NA,0,4257.1877079771
"83",1.70128252636641,3.56862808484584,0.984155291742625,-0.776793431749452,1.6911534476212,1.97123062288937,1.00929427309425,0.0841334324714646,325,NA,0,4290.27757003054
"84",3.75772454310209,2.4571772236377,0.711603897701426,-0.089762757139324,1.64751556140889,2.54454989625257,0.985370428382063,0.0988551826728808,345,NA,0,4282.01863153539
"85",2.4361338224262,2.24852657224983,2.06526084768223,0.48325105642663,1.70858858975092,1.76462287031895,0.982264655729674,0.998766528584765,351,NA,0,4203.25097167163
"86",2.74821888748556,3.23923893924803,0.860161153268872,0.553507117615487,1.67545155638017,3.2915507832376,1.00811300537037,0.00805739371735014,327,NA,0,4301.31001277816
"87",1.53402799367905,1.47701264359057,2.22956636687512,-1.36315372303951,1.71585825932323,3.72558953379982,1.00001994506432,0.00568642256364602,309,NA,0,4278.69732746841
"88",0.672260173596442,2.71338182222098,1.5894716123292,0.0149600823240759,1.69747789287424,2.22883834539301,0.976468423285208,0.0642378896819604,311,NA,0,4202.72312868712
"89",0.599448041059077,2.34709044452757,1.53695707168962,-1.99555255898529,1.68572616666432,1.73711485442024,0.998207360788943,0.991894874497629,437,NA,0,4251.77608001677
"90",2.52319355867803,0.666352964937687,2.17038139414521,-0.831854290256426,1.70458198516276,1.78359137406082,0.999500448331941,0.348426373256514,435,NA,0,4256.76209886659
"91",1.0232520988211,2.44555784203112,0.964146984005738,0.170232615927138,1.72194520197685,0.846719046053806,1.0023658884146,0.0540185056184176,205,NA,0,4301.35956528386
"92",1.88459677714854,0.931332853622735,1.24810119740416,0.474696898590115,1.72031996556586,1.77646360587966,1.00297443861217,0.166148929138148,321,NA,0,4266.04778508452
"93",1.72856167145073,0.0162418326362967,1.60527373207951,0.60862530454036,1.68929001433475,1.79070162280877,1.03127561044643,0.292909663205279,295,NA,0,4351.03413684362
"94",3.22371083218604,1.4826184771955,1.29694362711149,-1.4714324461438,1.72523895100126,1.74396674024575,0.988195494156515,0.984032924859553,149,NA,0,4221.48746010466
"95",1.93112082313746,2.02948298677802,2.42495635695539,-0.781587472377499,1.73131697177215,0.035759014434355,0.966022044116558,0.0127837883211768,169,NA,0,4189.83769074088
"96",2.5098635237664,1.34377293754369,0.624677166138104,-1.25497169658332,1.69963517281275,1.77298474909643,0.995809596788043,0.999764562736937,443,NA,0,4244.70333571728
"97",0.480145337060094,2.10681266896427,1.45807048883114,1.00233902210845,1.67864423369373,2.18508257099311,0.965019307166781,0.159399660979454,147,NA,0,4185.38437199731
"98",3.95380065683275,2.30329552665353,2.80681345160507,0.151866858849239,1.70714715188496,3.71483475006452,1.00373208422197,0.0066286060286033,429,NA,0,4293.00132116113
"99",2.43540553189814,0.05978221911937,1.22933995178662,-1.22647820082744,1.73871996113268,-0.189586840771584,0.977268556407476,0.00875740682047761,253,NA,0,4220.06712141568
"100",0.818828121758997,0.695778678171337,0.701034594317773,0.873135948648114,1.69720260065227,2.24987462753855,0.993167108161471,0.0617768659699572,393,NA,0,4253.6984208694
"101",1.78935237042606,3.06335392873734,1.24275802068131,0.013564049164404,1.68945516570906,1.79534743136552,1.01287932995317,0.748176114027414,329,NA,0,4297.53490746039
"102",2.37881487887353,1.58481864631176,1.53726148327868,0.469599888282257,1.69214466491021,1.72711240637218,1.0093049302841,0.999393668015231,495,NA,0,4284.72169014931
"103",1.94400384090841,1.63711800985038,0.659793309198325,1.11721537616146,1.65602953559981,1.75517678956099,1.00514908268091,0.999904161700838,487,NA,0,4272.93387878349
"104",1.55334397032857,2.46597319375724,2.38927034914524,-1.11218480050724,1.72636853188063,3.02613260890061,1.00786742258795,0.0137408591899901,241,NA,0,4302.1222726299
"105",0.813223103061318,2.08322413172573,7.21489537973065,-0.791484568780288,1.69783883124941,3.53164974704615,0.989735572845084,0.0028858667988135,275,NA,0,4236.28792537357
"106",3.18235047254711,1.18247714731842,0.590493701707638,0.441147244534185,1.7100085107084,1.73873520959006,0.986219047591492,0.998450501022521,479,NA,0,4215.38693541824
"107",2.52925325278193,3.34646259713918,1.42659524281002,0.93427797007106,1.69994089293378,6.11380511596824,1.02340158061694,0.000634910335290949,367,NA,0,4333.97873589647
"108",1.75248939543962,1.89732056669891,1.09693711772404,-0.0597745314164617,1.6900681596997,1.73254238768127,1.00006662248254,0.474872060382279,267,NA,0,4257.48565919664
"109",2.6352817658335,0.141954395920038,1.67099349566534,0.441213437504163,1.65081006416821,1.94498302449206,0.991716669608748,0.207664255316134,317,NA,0,4245.83353836451
"110",0.408308169804513,3.64173965249211,1.76198148058863,-0.390836333888694,1.72153007298233,1.79642887085487,1.00596609335516,0.515904944283419,125,NA,0,4275.98379527524
